Title,Production_Budget,Worldwide_Gross,Release_Year,CPI,Duration,MPAA_Rating,IMDb_Rating,Voter_Numbers,Genre
Star Wars Ep. VII: The Force Awakens,306000000,2064615817,2015,237,2h 18m,PG-13,7.8,931K,Action
Spider-Man: No Way Home,200000000,1910041582,2021,271,2h 28m,PG-13,8.3,752K,Action
The Avengers,225000000,1515100211,2012,229.6,2h 23m,PG-13,8,1.4M,Action
Top Gun: Maverick,170000000,1488732821,2022,294.4,2h 10m,PG-13,8.4,454K,Action
Star Wars Ep. VIII: The Last Jedi,262000000,1331635141,2017,245.1,2h 32m,PG-13,6.9,633K,Action
Jurassic World: Fallen Kingdom,170000000,1308323302,2018,251.1,2h 8m,PG-13,6.1,318K,Action
Beauty and the Beast,160000000,1268697483,2017,245.1,,PG,6.9,864,Animation
Aquaman,160000000,1143758700,2018,251.1,2h 23m,PG-13,6.8,476K,Action
The Lord of the Rings: The Return of the King,94000000,1120210896,2003,184,3h 21m,PG-13,9,1.8M,Action
Doctor Strange in the Multiverse of Madness,200000000,952224986,2022,294.4,2h 6m,PG-13,6.9,412K,Action
Harry Potter and the Order of the Phoenix,150000000,939619849,2007,207.3,2h 18m,PG-13,7.5,583K,Action
Minions: The Rise of Gru,80000000,938640464,2022,294.4,1h 27m,PG,6.6,64K,Animation
Spider-Man 3,258000000,894860230,2007,207.3,2h 19m,PG-13,6.3,593K,Action
Harry Potter and the Goblet of Fire,150000000,886742787,2005,195.3,2h 37m,PG-13,7.7,628K,Adventure
Ice Age: Dawn of the Dinosaurs,90000000,886686817,2009,214.5,1h 34m,PG,6.9,247K,Animation
Bohemian Rhapsody,55000000,882205260,2018,251.1,2h 14m,PG-13,7.9,540K,Biography
Ice Age: Continental Drift,95000000,879765137,2012,229.6,1h 28m,PG,6.5,211K,Animation
Spider-Man: Homecoming,175000000,878271291,2017,245.1,2h 13m,PG-13,7.4,658K,Action
Spider-Man,139000000,821706375,2002,179.9,,,,,Animation
Independence Day,75000000,817400878,1996,156.9,2h 25m,PG-13,7,577K,Action
Shrek the Third,160000000,807330936,2007,207.3,1h 33m,PG,6.1,309K,Animation
Harry Potter and the Prisoner of Azkaban,130000000,789592708,2004,188.9,2h 22m,PG,7.9,636K,Adventure
Mission: Impossible—Fallout,178000000,787176729,2018,251.1,2h 27m,PG-13,7.7,334K,Action
Suicide Squad,175000000,745744980,2016,240,2h 3m,PG-13,5.9,687K,Action
Transformers,151000000,708272592,2007,207.3,2h 24m,PG-13,7,640K,Action
The Twilight Saga: New Moon,50000000,687557727,2009,214.5,2h 10m,PG-13,4.7,287K,Adventure
"The Twilight Saga: Breaking Dawn, Part 1",127500000,686271489,2011,224.9,1h 57m,PG-13,4.9,242K,Adventure
Gravity,110000000,685710761,2013,233,1h 31m,PG-13,7.7,827K,Drama
Man of Steel,225000000,667999518,2013,233,2h 23m,PG-13,7.1,773K,Action
Interstellar,165000000,648909648,2014,236.7,2h 49m,PG-13,8.6,1.8M,Adventure
Fast Five,125000000,630163454,2011,224.9,2h 10m,PG-13,7.3,383K,Action
